iter	Passed	Remaining
155	17574	72549
156	17710	72534
157	17859	72569
158	17982	72495
159	18103	72412
160	18231	72360
161	18353	72281
162	18484	72238
163	18640	72290
164	18779	72271
165	18890	72148
166	19034	72147
167	19169	72115
168	19266	71935
169	19359	71742
170	19458	71576
171	19550	71380
172	19651	71222
173	19756	71078
174	19857	70919
175	19963	70778
176	20068	70637
177	20165	70465
178	20287	70382
179	20407	70292
180	20522	70184
181	20631	70057
182	20744	69940
183	20854	69817
184	20957	69668
185	21078	69581
186	21191	69468
187	21298	69332
188	21413	69225
189	21546	69176
190	21681	69131
191	21794	69015
192	21917	68932
193	22018	68779
194	22133	68669
195	22242	68544
196	22349	68410
197	22465	68305
198	22576	68182
199	22692	68076
200	22788	67912
201	22897	67784
202	23005	67655
203	23109	67516
204	23258	67507
205	23353	67339
206	23462	67213
207	23562	67062
208	23673	66943
209	23780	66812
210	23890	66689
211	24012	66600
212	24110	66446
213	24213	66304
214	24339	66225
215	24475	66173
216	24615	66132
217	24719	65994
218	24825	65860
219	24925	65713
220	25030	65577
221	25132	65434
222	25241	65311
223	25357	65203
224	25472	65096
225	25620	65072
226	25740	64975
227	25896	64967
228	26021	64883
229	26172	64861
230	26271	64711
231	26400	64634
232	26493	64471
233	26710	64607
234	26873	64610
235	27074	64704
236	27303	64859
237	27469	64865
238	27606	64800
239	27818	64909
240	27968	64872
241	28097	64787
242	28190	64616
243	28298	64483
244	28400	64335
245	28522	64232
246	28633	64107
247	28755	64004
248	28883	63915
249	29005	63811
250	29111	63674
251	29211	63522
252	29320	63392
253	29427	63257
254	29525	63103
255	29634	62973
256	29749	62856
257	29878	62768
258	29992	62649
259	30144	62608
260	30249	62470
261	30357	62337
262	30478	62231
263	30654	62238
264	30787	62156
265	30898	62029
266	31013	61911
267	31132	61800
268	31262	61710
269	31355	61550
270	31462	61416
271	31562	61267
272	31679	61154
273	31812	61070
274	32029	61147
275	32538	61776
276	32796	61922
277	32906	61787
278	33007	61638
279	33128	61524
280	33242	61398
281	33359	61277
282	33472	61148
283	33586	61022
284	33708	60911
285	33837	60812
286	33963	60707
287	34065	60561
288	34183	60441
289	34292	60306
290	34398	60167
291	34533	60078
292	34653	59963
293	34792	59880
294	34935	59804
295	35046	59674
296	35134	59503
297	35236	59358
298	35333	59204
299	35425	59043
300	35530	58902
301	35632	58758
302	35730	58607
303	35832	58462
304	35922	58301
305	36009	58133
306	36126	58013
307	36218	57854
308	36338	57741
309	36438	57596
310	36998	58174
311	37158	58119
312	37286	58013
313	37425	57925
314	37572	57850
315	37748	57817
316	37922	57780
317	38042	57662
318	38147	57520
319	38262	57393
320	38380	57271
321	38489	57136
322	38592	56992
323	38695	56849
324	38810	56723
325	38913	56580
326	39004	56419
327	39109	56279
328	39205	56127
329	39303	55977
330	39407	55836
331	39499	55679
332	39620	55564
333	39722	55420
334	39815	55266
335	39951	55171
336	40053	55029
337	40168	54905
338	40279	54774
339	40386	54641
340	40505	54522
341	40622	54400
342	40745	54287
343	40888	54201
344	41048	54136
345	41150	53995
346	41247	53848
347	41340	53694
348	41437	53547
349	41536	53403
350	41635	53260
351	41746	53132
352	41851	52996
353	41961	52867
354	42057	52720
355	42162	52584
356	42279	52463
357	42399	52348
358	42508	52218
359	42616	52086
360	42718	51947
361	42841	51835
362	42959	51717
363	43081	51602
364	43189	51472
365	43278	51319
366	43380	51182
367	43482	51044
368	43595	50920
369	43705	50792
370	43807	50656
371	43915	50525
372	44020	50393
373	44113	50246
374	44236	50134
375	44345	50007
376	44463	49889
377	44562	49749
378	44679	49630
379	44788	49503
380	44904	49382
381	45019	49262
382	45117	49122
383	45219	48987
384	45317	48848
385	45411	48705
386	45517	48575
387	45606	48427
388	45720	48306
389	45816	48166
390	45905	48018
391	46007	47885
392	46103	47745
393	46199	47606
394	46303	47475
395	46391	47328
396	46490	47192
397	46587	47055
398	46682	46916
